Country Name,Country Code,Year,GDP_Per_Capita,Female_Usage_Pct,Male_Usage_Pct,Internet_Usage_Pct,Region,Cost_1GB_USD,Affordability_Pct
Paraguay,PRY,2000,1736.11729210765,,,0.747631,SOUTH AMERICA,,
West Bank and Gaza,PSE,2000,1476.17185000238,,,1.11131,,,
Pacific island small states,PSS,2000,1686.60570445369,,,,,,
Post-demographic dividend,PST,2000,25890.8986396573,,,,,,
French Polynesia,PYF,2000,14978.324104668,,,6.35706,OCEANIA,,
Qatar,QAT,2000,27535.182940934,,,4.86368,NEAR EAST,,
Romania,ROU,2000,1659.92904910528,,,3.61372,EASTERN EUROPE,,
Russia,RUS,2000,1771.59411621094,,,1.97723,,,
Rwanda,RWA,2000,251.86926386091,,,0.0628315,SUB-SAHARAN AFRICA,,
South Asia,SAS,2000,440.467918910931,,,,,,
Saudi Arabia,SAU,2000,11714.5623675159,,,2.21069,NEAR EAST,,
Sudan,SDN,2000,362.116882324219,,,0.025785,SUB-SAHARAN AFRICA,,
Senegal,SEN,2000,603.233162455158,,,0.403967,SUB-SAHARAN AFRICA,,
Singapore,SGP,2000,23852.8389514753,,,36.0,ASIA (EX. NEAR EAST),,
Solomon Islands,SLB,2000,953.17190137706,,,0.481297,OCEANIA,,
Sierra Leone,SLE,2000,143.743743239644,,,0.118254,SUB-SAHARAN AFRICA,,
El Salvador,SLV,2000,1982.87093542615,,,1.1774,CENTRAL AMERICA,,
San Marino,SMR,2000,37600.7077379601,,,48.7995,WESTERN EUROPE,,
"Somalia, Fed. Rep.",SOM,2000,386.119274401275,,,0.02,,,
Serbia,SRB,2000,974.725469278615,,,,EASTERN EUROPE,,
Sub-Saharan Africa (excluding high income),SSA,2000,684.279233995118,,,,,,
Sub-Saharan Africa,SSF,2000,629.529731613317,,,,,,
Small states,SST,2000,4846.98212617811,,,,,,
Sao Tome and Principe,STP,2000,529.089383412262,,,4.63852,,,
Suriname,SUR,2000,1988.22172925433,,,2.50641,SOUTH AMERICA,,
Slovakia,SVK,2000,5421.6448441887,,,9.4268,EASTERN EUROPE,,
Slovenia,SVN,2000,10135.7219109212,,,15.1103,EASTERN EUROPE,,
Sweden,SWE,2000,29632.5890811623,,,45.6877,WESTERN EUROPE,,
Eswatini,SWZ,2000,1629.67038842815,,,0.926192,SUB-SAHARAN AFRICA,,
Seychelles,SYC,2000,8063.65500575169,,,7.39563,SUB-SAHARAN AFRICA,,
Syria,SYR,2000,1138.1884854278,,,0.181699,NEAR EAST,,
Chad,TCD,2000,163.121663683369,,,0.0357071,SUB-SAHARAN AFRICA,,
East Asia & Pacific (IDA & IBRD countries),TEA,2000,972.833173916046,,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,2000,2044.35074576548,,,,,,
Togo,TGO,2000,409.889802792768,,,0.8,SUB-SAHARAN AFRICA,,
Thailand,THA,2000,2005.97694514234,,,3.68904,ASIA (EX. NEAR EAST),,
Tajikistan,TJK,2000,136.925716400723,,,0.0485996,CIS (FORMER USSR),,
Turkmenistan,TKM,2000,633.835487638011,,,0.133282,CIS (FORMER USSR),,
Latin America & the Caribbean (IDA & IBRD countries),TLA,2000,4388.92611014216,,,,,,
Timor-Leste,TLS,2000,492.457637913906,,,,ASIA (EX. NEAR EAST),,
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2000,1246.01975069059,,,,,,
Tonga,TON,2000,1995.07667546271,,,2.4344,OCEANIA,,
South Asia (IDA & IBRD),TSA,2000,440.467918910931,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,2000,629.529731613317,,,,,,
Trinidad and Tobago,TTO,2000,6178.58975559687,,,7.72141,CARIBBEAN,,
Tunisia,TUN,2000,2199.04465936314,,,2.75074,NORTHERN AFRICA,,
Turkey,TUR,2000,4199.3798635759,,,3.76169,NEAR EAST,,
Tuvalu,TUV,2000,1579.41906275542,,,5.24164,OCEANIA,,
Tanzania,TZA,2000,401.698150634766,,,0.117194,SUB-SAHARAN AFRICA,,
Uganda,UGA,2000,258.050338731086,,,0.163714,SUB-SAHARAN AFRICA,,
Ukraine,UKR,2000,653.294311523438,,,0.716184,CIS (FORMER USSR),,
Upper middle income,UMC,2000,1846.75293360867,,,,,,
Uruguay,URY,2000,6987.70098766257,,,10.5391,SOUTH AMERICA,,
United States,USA,2000,36329.9560727102,,,43.0792,NORTHERN AMERICA,,
Uzbekistan,UZB,2000,555.149231099186,,,0.484347,CIS (FORMER USSR),,
